designator,quantity,value,pack,mpn,mount_type
"C1, C10, C11, C12, C14, C15, C16, C17, C18, C2, C24, C25, C26, C27, C28, C29, C4, C6, C7, C8",20,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,smt
"C13, C23, C3, C5, C9",5,100uF,CP_Radial_D10.0mm_P5.00mm,,tht
"C19, C20, C21, C22",4,1000pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,smt
"H1, H2, H3, H4",4,MountingHole,MountingHole_4.3mm_M4,,tht
"J1, J2, J3, J4, J5, J6, J7",7,Conn_01x02,CUI_TB009-508-02BE,,tht
J8,1,Conn_02x05_Odd_Even,IDC-Header_2x05_P2.54mm_Vertical,,tht
J9,1,Conn_01x05,PinSocket_1x05_P2.54mm_Vertical,,tht
"JP1, JP2, JP3",3,SolderJumper_3_Bridged12,SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels,,tht
PS1,1,P78E03-1000,CONV_P78E03-1000,,tht
Q1,1,IPD060N03LGATMA1,IPD060N03LGATMA1,,smt
"R1, R2, R3, R4",4,0.2,R_1020_2550Metric_Pad1.33x5.20mm_HandSolder,,smt
"R10, R15, R7, R8, R9",5,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,smt
R11,1,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,smt
R12,1,0.005,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,,smt
"R13, R14",2,10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,smt
"R5, R6",2,1.65k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,smt
RN1,1,10k,R_Array_Convex_4x1206,,smt
U1,1,rp2040-zero,rp2040-zero-tht,,tht
"U2, U3, U4, U5",4,DRV8801PWP,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask3x3mm_ThermalVias,,smt
"U6, U7",2,TCA9554DB,SSOP-16_5.3x6.2mm_P0.65mm,,smt
U8,1,LTC4357MS8,MSOP-8_3x3mm_P0.65mm,,smt
U9,1,INA219BIDR,SOIC-8_3.9x4.9mm_P1.27mm,,smt
