pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
181.500001,-96.864999,-90.0,top,C1,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt,True
130.499999,-125.0,90.0,top,C10,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt,True
133.499999,-119.5,180.0,top,C11,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt,True
133.499999,-116.75,180.0,top,C12,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt,True
139.25,-101.55,180.0,top,C13,,CP_Radial_D10.0mm_P5.00mm,100uF,tht,True
130.499999,-95.55,90.0,top,C14,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt,True
133.499999,-90.05,180.0,top,C15,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt,True
133.499999,-87.3,180.0,top,C16,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt,True
148.9625,-101.525,180.0,top,C17,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt,True
148.9625,-111.275,180.0,top,C18,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt,True
174.25,-107.615,0.0,top,C19,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1000pF,smt,True
178.500001,-105.114999,0.0,top,C2,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt,True
174.25,-138.75,0.0,top,C20,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1000pF,smt,True
137.75,-114.25,180.0,top,C21,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1000pF,smt,True
137.75,-84.8,180.0,top,C22,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1000pF,smt,True
160.132323,-88.5,0.0,top,C23,,CP_Radial_D10.0mm_P5.00mm,100uF,tht,True
167.0,-144.25,90.0,top,C24,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt,True
148.5,-95.0,90.0,top,C25,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt,True
145.5,-95.0,-90.0,top,C26,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt,True
140.97,-78.25,-90.0,top,C27,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt,True
172.5,-81.9625,90.0,top,C28,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt,True
165.0125,-74.0,0.0,top,C29,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt,True
172.75,-90.864999,0.0,top,C3,,CP_Radial_D10.0mm_P5.00mm,100uF,tht,True
178.500001,-102.364999,0.0,top,C4,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt,True
172.75,-121.999999,0.0,top,C5,,CP_Radial_D10.0mm_P5.00mm,100uF,tht,True
181.500001,-127.999999,-90.0,top,C6,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt,True
178.500001,-133.499999,0.0,top,C7,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt,True
178.500001,-136.249999,0.0,top,C8,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt,True
139.25,-131.0,180.0,top,C9,,CP_Radial_D10.0mm_P5.00mm,100uF,tht,True
126.75,-65.0,0.0,top,H1,,MountingHole_4.3mm_M4,MountingHole,tht,True
